tt0031082	movie	Barricade	Barricade	0	1939	\N	71	Adventure,Drama,Romance
tt0031253	short	Drunk Driving	Drunk Driving	0	1939	\N	22	Drama,Short
tt0031277	movie	It Was a Gay Ballnight	Es war eine rauschende Ballnacht	0	1939	\N	94	Drama
tt0031317	movie	Fixer Dugan	Fixer Dugan	0	1939	\N	68	Drama
tt0031451	short	How to Eat	How to Eat	0	1939	\N	9	Comedy,Short
tt0031455	movie	The Hunchback of Notre Dame	The Hunchback of Notre Dame	0	1939	\N	117	Drama,Romance
tt0031586	movie	The Lone Ranger Rides Again	The Lone Ranger Rides Again	0	1939	\N	263	Action,Adventure,Drama
tt0031645	movie	The Middleton Family at the New York World's Fair	The Middleton Family at the New York World's Fair	0	1939	\N	55	Drama
tt0031666	short	The Monroe Doctrine	The Monroe Doctrine	0	1939	\N	22	Drama,History,Romance
tt0031709	movie	Nancy Drew... Reporter	Nancy Drew... Reporter	0	1939	\N	68	Comedy,Crime,Mystery
tt0031827	short	Prophet Without Honor	Prophet Without Honor	0	1939	\N	11	Biography,Drama,History
tt0031847	movie	Renegade Trail	Renegade Trail	0	1939	\N	58	Music,Western
tt0031904	short	Screwball Football	Screwball Football	0	1939	\N	8	Animation,Comedy,Family
tt0031957	movie	South of the Border	South of the Border	0	1939	\N	70	Action,Adventure,Music
tt0031987	movie	Streets of New York	Streets of New York	0	1939	\N	73	Action,Crime,Drama
tt0032034	movie	Thunder Afloat	Thunder Afloat	0	1939	\N	95	Action,Drama,Romance
tt0032043	movie	Topper Takes a Trip	Topper Takes a Trip	0	1938	\N	80	Comedy,Fantasy,Romance
tt0032186	movie	You're Missing the Point	Ahí está el detalle	0	1940	\N	112	Comedy
tt0032230	movie	Babicka	Babicka	0	1940	\N	90	Drama,Romance
tt0032331	short	The Chewin' Bruin	The Chewin' Bruin	0	1940	\N	7	Animation,Comedy,Family
tt0032356	movie	Blackout	Contraband	0	1940	\N	92	Crime,Drama,Romance
tt0032499	movie	A Fugitive from Justice	A Fugitive from Justice	0	1940	\N	53	Crime,Drama
tt0032569	short	The Hardship of Miles Standish	The Hardship of Miles Standish	0	1940	\N	9	Animation,Comedy,Family
tt0032602	movie	Hold That Woman!	Hold That Woman!	0	1940	\N	67	Comedy,Crime,Romance
tt0032612	movie	The Howards of Virginia	The Howards of Virginia	0	1940	\N	116	Drama,History,War
tt0032634	movie	The Invisible Killer	The Invisible Killer	0	1939	\N	63	Mystery
tt0032668	movie	King of the Lumberjacks	King of the Lumberjacks	0	1940	\N	58	Action,Drama,Romance
tt0032706	movie	The Light of Western Stars	The Light of Western Stars	0	1940	\N	64	Romance,Western
tt0032716	short	Little Lambkin	Little Lambkin	0	1940	\N	6	Animation,Comedy,Family
tt0032750	movie	The Man from Tumbleweeds	The Man from Tumbleweeds	0	1940	\N	59	Action,Adventure,Music
tt0032927	short	Popeye Presents Eugene, the Jeep	Popeye Presents Eugene, the Jeep	0	1940	\N	6	Animation,Comedy,Family
tt0033031	movie	The Secret Four	The Four Just Men	0	1939	\N	85	Drama,Mystery,Thriller
tt0033041	short	Shakespearian Spinach	Shakespearian Spinach	0	1940	\N	6	Animation,Comedy,Family
tt0033091	short	The Spook Speaks	The Spook Speaks	0	1940	\N	18	Comedy,Short
tt0033097	short	Stage Fright	Stage Fright	0	1940	\N	7	Animation,Comedy,Family
tt0033154	movie	This Thing Called Love	This Thing Called Love	0	1940	\N	98	Comedy
tt0033275	movie	Request Concert	Wunschkonzert	0	1940	\N	103	Musical,Romance,War
tt0033283	movie	You'll Find Out	You'll Find Out	0	1940	\N	97	Comedy,Horror,Musical
tt0033289	movie	Young Tom Edison	Young Tom Edison	0	1940	\N	86	Biography,Drama
tt0033373	movie	Ball of Fire	Ball of Fire	0	1941	\N	111	Comedy,Romance
